t,estado,razon,velocidad,angulo,heading,color_piso,watchdog_pico,esquinas,frontal,frontal_muro,izquierda,derecha,trasera,trasera_valida,cobertura_trasera,trasera_izquierda,trasera_izquierda_valida,cobertura_trasera_izquierda,trasera_derecha,trasera_derecha_valida,cobertura_trasera_derecha,calidad_pared,tracks,tracks_confirmados,track_activo_id,track_activo_color,track_activo_x,track_activo_y,track_activo_edad,track_activo_observado,distancia_sobrepaso,hueco_confianza,vision_edad_ms
2835.803898,CRUISE,crucero centrado por paredes,5,-4.00,-0.15,PISTA,OK,0,630.0,1667.0,425.4,543.2,230.5,1,0.806,418.8,1,0.918,246.0,1,0.877,0.929,2,0,,,,,,0,0.0,,42.5
2835.873178,AVOID_APPROACH,pure-pursuit al punto de paso del pilar 1,10,0.00,-0.15,PISTA,OK,0,631.2,1669.5,426.2,543.8,229.9,1,0.806,418.5,1,0.904,246.5,1,0.877,0.940,2,2,1,VERDE,-111.6,624.0,0.000,1,0.0,,46.8
2835.943853,AVOID_APPROACH,pure-pursuit al punto de paso del pilar 1,15,4.00,-0.08,PISTA,OK,0,630.0,1669.2,425.8,543.8,229.2,1,0.833,418.8,1,0.877,248.5,1,0.877,0.929,2,2,1,VERDE,-114.2,622.1,0.000,1,0.0,,50.1
2836.015627,AVOID_APPROACH,pure-pursuit al punto de paso del pilar 1,20,8.00,-0.12,PISTA,OK,0,630.5,1666.5,426.2,544.9,232.0,1,0.806,419.5,1,0.863,247.0,1,0.890,0.928,2,2,1,VERDE,-114.7,620.8,0.000,1,0.0,,54.4
2836.090617,AVOID_APPROACH,pure-pursuit al punto de paso del pilar 1,25,12.00,-0.13,PISTA,OK,0,1664.5,1664.5,428.1,544.4,233.9,1,0.889,420.5,1,0.932,249.5,1,0.973,0.905,4,2,1,VERDE,-126.2,613.4,0.000,1,0.0,,58.3
2836.166024,AVOID_APPROACH,pure-pursuit al punto de paso del pilar 1,25,16.00,-0.27,PISTA,OK,0,1659.0,1659.0,428.3,544.2,238.1,1,0.861,420.5,1,0.959,254.5,1,0.918,0.938,4,2,1,VERDE,-128.4,608.4,0.000,1,0.0,,62.7
2836.245290,AVOID_APPROACH,pure-pursuit al punto de paso del pilar 1,25,20.00,-0.33,PISTA,OK,0,1651.0,1651.0,429.3,543.3,244.2,1,0.861,421.5,1,0.959,262.5,1,0.918,0.942,4,2,1,VERDE,-130.2,600.5,0.000,1,0.0,,84.9
2836.327942,AVOID_APPROACH,pure-pursuit al punto de paso del pilar 1,22,24.00,0.23,PISTA,OK,0,605.5,1644.0,427.8,543.5,251.3,1,0.806,420.5,1,0.945,268.0,1,0.904,0.959,4,2,1,VERDE,-120.5,594.6,0.000,1,0.0,,34.1
2836.415860,AVOID_APPROACH,pure-pursuit al punto de paso del pilar 1,22,25.00,0.63,PISTA,OK,0,598.5,1636.5,427.3,544.6,260.1,1,0.861,420.0,1,0.973,277.5,1,0.945,0.951,4,2,1,VERDE,-115.4,588.6,0.000,1,0.0,,57.5
2836.508619,AVOID_APPROACH,pure-pursuit al punto de paso del pilar 1,22,25.00,1.68,PISTA,OK,0,592.0,1631.0,424.4,545.6,268.4,1,0.917,417.8,1,0.986,283.8,1,0.959,0.932,4,2,1,VERDE,-100.5,584.9,0.000,1,0.0,,70.9
