t,estado,razon,velocidad,angulo,heading,color_piso,watchdog_pico,esquinas,frontal,frontal_muro,izquierda,derecha,trasera,trasera_valida,cobertura_trasera,trasera_izquierda,trasera_izquierda_valida,cobertura_trasera_izquierda,trasera_derecha,trasera_derecha_valida,cobertura_trasera_derecha,calidad_pared,tracks,tracks_confirmados,track_activo_id,track_activo_color,track_activo_x,track_activo_y,track_activo_edad,track_activo_observado,distancia_sobrepaso,hueco_confianza,vision_edad_ms
4150.900918,CRUISE,crucero centrado por paredes,5,-4.00,-0.06,PISTA,OK,0,695.5,1736.5,418.3,543.9,163.6,1,0.889,414.5,1,0.849,180.5,1,0.945,0.867,2,0,,,,,,0,0.0,,42.1
4150.970063,AVOID_APPROACH,pure-pursuit al punto de paso del pilar 1,10,0.00,-0.06,PISTA,OK,0,694.5,1735.0,418.5,544.1,163.2,1,0.806,414.5,1,0.863,181.5,1,0.904,0.867,2,1,1,VERDE,-92.5,689.8,0.000,1,0.0,,43.2
4151.041573,AVOID_APPROACH,pure-pursuit al punto de paso del pilar 1,15,4.00,-0.03,PISTA,OK,0,694.8,1732.8,418.1,544.5,164.6,1,0.889,413.5,1,0.863,183.8,1,0.904,0.872,2,1,1,VERDE,-92.4,689.3,0.000,1,0.0,,48.5
4151.113180,AVOID_APPROACH,pure-pursuit al punto de paso del pilar 1,20,8.00,-0.10,PISTA,OK,0,691.8,1730.0,418.8,543.6,163.5,1,0.861,414.5,1,0.877,182.5,1,0.904,0.854,3,2,1,VERDE,-99.0,685.8,0.000,1,0.0,,53.9
4151.188192,AVOID_APPROACH,pure-pursuit al punto de paso del pilar 1,23,12.00,-0.37,PISTA,OK,0,690.5,1722.5,420.1,543.9,165.4,1,0.861,416.0,1,0.877,185.0,1,0.918,0.849,3,2,1,VERDE,-106.4,682.0,0.000,1,0.0,,57.7
4151.263942,AVOID_APPROACH,pure-pursuit al punto de paso del pilar 1,23,16.00,-0.86,PISTA,OK,0,683.5,1723.5,421.7,542.8,168.6,1,0.889,415.8,1,0.863,187.0,1,0.945,0.881,3,2,1,VERDE,-108.6,676.4,0.000,1,0.0,,56.2
4151.343353,AVOID_APPROACH,pure-pursuit al punto de paso del pilar 1,23,20.00,-0.88,PISTA,OK,0,677.5,1716.5,421.6,542.7,177.0,1,0.833,416.8,1,0.890,193.5,1,0.904,0.876,3,2,1,VERDE,-108.2,670.8,0.000,1,0.0,,83.4
4151.427013,AVOID_APPROACH,pure-pursuit al punto de paso del pilar 1,23,23.08,-0.51,PISTA,OK,0,670.5,1711.5,421.4,543.2,183.2,1,0.917,415.8,1,0.890,200.5,1,0.973,0.905,3,2,1,VERDE,-103.6,663.2,0.000,1,0.0,,98.0
4151.513862,AVOID_APPROACH,pure-pursuit al punto de paso del pilar 1,23,22.77,-0.13,PISTA,OK,0,663.0,1702.5,420.0,544.1,191.8,1,0.917,414.8,1,0.877,209.5,1,0.945,0.911,3,2,1,VERDE,-96.8,656.9,0.000,1,0.0,,53.9
4151.605068,AVOID_APPROACH,pure-pursuit al punto de paso del pilar 1,23,21.37,1.11,PISTA,OK,0,655.5,1695.0,417.2,545.7,201.1,1,0.889,412.5,1,0.932,216.5,1,0.959,0.942,3,2,1,VERDE,-77.1,654.2,0.000,1,0.0,,71.3
4151.701731,AVOID_APPROACH,pure-pursuit al punto de paso del pilar 1,23,20.37,2.83,PISTA,OK,0,650.0,1689.0,413.2,549.6,206.8,1,0.944,409.5,1,0.959,222.0,1,0.986,0.938,3,2,1,VERDE,-61.7,648.2,0.000,1,0.0,,42.8
4151.800305,AVOID_APPROACH,pure-pursuit al punto de paso del pilar 1,23,18.91,3.67,PISTA,OK,0,645.0,1691.5,409.0,553.9,217.5,1,0.972,406.0,1,0.986,230.0,1,0.986,0.922,3,2,1,VERDE,-41.8,644.6,0.000,1,0.0,,75.5
4151.902873,AVOID_APPROACH,pure-pursuit al punto de paso del pilar 1,23,17.38,5.31,PISTA,OK,0,637.0,1681.5,405.1,558.4,224.0,1,0.972,400.5,1,0.945,235.5,1,0.986,0.935,3,2,1,VERDE,-20.6,637.8,0.000,1,0.0,,43.2
4152.008512,AVOID_APPROACH,pure-pursuit al punto de paso del pilar 1,23,16.61,7.00,PISTA,OK,0,630.0,638.5,401.2,564.8,233.0,1,0.972,396.0,1,0.932,245.0,1,0.986,0.923,3,2,1,VERDE,-9.2,630.9,0.000,1,0.0,,81.5
